========== 龙骨盘点（按空间位置分类）==========
骨骼总数 = 275

顶点包围盒: X[-3.896,1.837]  Y[-0.042,2.237]  Z[-3.610,2.002]
（相对角色根；长轴=X）

---- 全部骨骼（按 Z 从后到前排序）----
  [idx] 名字                      局部位置(X,Y,Z)               到根距离  子数
    drgon_0239                 (-1.249, 0.042, -1.415)
    drgon_0238                 (-1.237, 0.091, -1.374)
    drgon_0242                 (-1.194, 0.053, -1.358)
    drgon_0198                 (0.974, 1.230, -1.351)
    drgon_0118                 (-1.265, 0.054, -1.337)
    drgon_0245                 (-1.226, 0.069, -1.335)
    drgon_0243                 (-1.134, 0.053, -1.299)
    drgon_0248                 (-1.286, 0.055, -1.256)
    drgon_0244                 (-1.087, 0.052, -1.254)
    drgon_0246                 (-1.201, 0.058, -1.247)
    drgon_0249                 (-1.301, 0.055, -1.193)
    drgon_0247                 (-1.184, 0.049, -1.185)
    drgon_012                  (1.141, 0.937, -1.100)
    drgon_0197                 (1.124, 1.123, -1.082)
    drgon_013                  (1.184, 0.750, -0.789)
    drgon_0196                 (1.172, 0.890, -0.696)
    drgon_014                  (1.133, 0.569, -0.518)
    drgon_0161                 (0.679, 0.023, -0.477)
    drgon_0173                 (0.772, 0.323, -0.461)
    drgon_0156                 (0.719, 0.263, -0.458)
    drgon_0172                 (0.719, 0.263, -0.458)
    drgon_0159                 (0.632, 0.024, -0.455)
    drgon_0195                 (1.119, 0.714, -0.433)
    drgon_015                  (1.026, 0.438, -0.307)
    drgon_0155                 (0.736, 0.428, -0.274)
    drgon_0194                 (1.019, 0.593, -0.243)
    drgon_016                  (0.906, 0.375, -0.162)
    drgon_0154                 (0.861, 0.378, -0.158)
    drgon_0174                 (0.921, 0.536, -0.128)
    drgon_0175                 (0.894, 0.367, -0.119)
    drgon_0193                 (1.166, 0.331, -0.110)
    drgon_0176                 (1.017, 0.481, -0.059)
    drgon_0192                 (1.155, 0.276, -0.052)
    drgon_0177                 (1.155, 0.276, -0.052)
    drgon_017                  (0.774, 0.364, -0.051)
    drgon_0153                 (0.822, 0.517, -0.047)
    drgon_0160                 (1.197, 0.028, -0.031)
    drgon_0180                 (1.180, 0.027, 0.018)
    drgon_0152                 (0.675, 0.544, 0.040)
    drgon_018                  (0.606, 0.411, 0.055)
    drgon_0179                 (1.160, 0.020, 0.075)
    drgon_0178                 (1.148, 0.089, 0.111)
    drgon_0191                 (1.147, -0.022, 0.111)
    drgon_0182                 (1.102, 0.033, 0.129)
    drgon_0188                 (1.172, 0.032, 0.153)
    drgon_0185                 (1.133, 0.048, 0.154)
    drgon_0183                 (1.036, 0.044, 0.179)
    drgon_0184                 (0.985, 0.035, 0.219)
    drgon_0189                 (1.181, 0.040, 0.236)
    drgon_0186                 (1.103, 0.058, 0.240)
    drgon_0187                 (1.082, 0.039, 0.299)
    drgon_0190                 (1.187, 0.024, 0.299)
