[sitemap] 商品 5711 个，分类 120 个
[scan] 选中分类 vfx, vfx/particles, vfx/particles/spells, vfx/particles/fire-explosions, vfx/particles/environment, vfx/shaders, tools/particles-effects ⇒ 345 个商品
[scan] 需抓 343 个商品页（缓存已有 2）
  25/343  8s  (3.00 个/秒)
  50/343  16s  (3.10 个/秒)
  75/343  24s  (3.17 个/秒)
  100/343  33s  (3.05 个/秒)
  125/343  41s  (3.05 个/秒)
  150/343  47s  (3.18 个/秒)
  175/343  54s  (3.24 个/秒)
  200/343  61s  (3.27 个/秒)
  225/343  67s  (3.36 个/秒)
  250/343  74s  (3.36 个/秒)
  275/343  84s  (3.28 个/秒)
  300/343  90s  (3.34 个/秒)
  325/343  99s  (3.28 个/秒)
  343/343  104s  (3.31 个/秒)
[result] 341 条命中（缓存总量 345）

id         名称                         价格       团结引擎版本                 分类/发布者
20003673   特效合集超级包 - Vol.7            ¥144.20  2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003674   特效合集超级包 - Vol.8            ¥175.00  2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003675   特效合集超级包 - Vol.9            ¥144.20  2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003676   特效合集超级包 - Vol.9 - URP      ¥144.20  2022.3.2t4             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20006088   现实主义 ARPG 魔法宝石特效           ¥182.00  2022.3.62t11           VFX/粒子/符文 / Piloto Studio
20003498   现实墨水法术                     ¥189.00  2022.3.62t5            VFX/粒子/符文 / Piloto Studio
20003821   珊瑚绒毛飘动效果                   ¥27.93   2022.3.62t4            VFX / Maything
20002337   电击 & 闪电 风格化 VFX 入门套件       ¥224.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002349   疾风·风系风格化 VFX 入门套装          ¥224.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002476   益智游戏效果合集                   ¥195.30  2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003885   益智游戏特效合集 - 超级包             ¥224.00  2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003886   益智游戏特效合集 - 超级包 - URP       ¥224.00  2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20002266   真实 ARPG VFX —— 法力法术        ¥189.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002263   真实 ARPG VFX —— 黄金魔法        ¥189.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002285   真实感 ARPG 风系魔法技能特效          ¥189.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002270   真实感 ARPG——恶魔对天使            ¥189.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20004624   瞄准镜与倍镜着色器                  ¥24.49   2022.3.2t3             VFX/着色器 / Simon_Mczt
20003895   矩阵迷宫线段效果                   ¥27.93   2022.3.62t4            VFX / Maything
20001549   科幻全息屏幕着色器 Sci-Fi Hologra   ¥97.30   2022.3.61t6            VFX/着色器 / MaxKill Studios
20000499   科幻载入屏幕特效包                  ¥137.19  2022.3.61t6            VFX / vvVisualXxx
20002352   科幻｜科技｜未来风格化 VFX 入门套件       ¥224.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20004847   科技风UI特效包                   ¥209.99  2022.3.61t8            VFX / 海灵工坊
20004813   科技风环境特效                    ¥90.30   2022.3.61t8            VFX/粒子 / 海灵工坊
20002260   程序化法术指示器 VFX               ¥112.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20003703   穿越天际效果                     ¥20.93   2022.3.62t4            VFX / Maything
20003871   立方体涟漪效果                    ¥13.99   2022.3.62t4            VFX / Maything
20003620   立方体黑洞效果                    ¥6.93    2022.3.62t4            VFX / Maything
20002740   简单的2D形状                    ¥23.80   2022.3.62t4            VFX/着色器 / 楠瓜Moenen
20005560   类 Rogue 游戏火药特效             ¥154.00  2022.3.62t8            VFX/粒子/符文 / Piloto Studio
20004402   类Roguelike奥术风格特效           ¥154.00  2022.3.62t7            VFX/粒子/符文 / Piloto Studio
20003528   粒子路径效果                     ¥6.93    2022.3.62t4            VFX/粒子 / Maything
20002258   终极战利品特效包 —— 199 种特效        ¥168.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002255   终极网格特效                     ¥196.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20003875   绘制活力四射线段效果                 ¥27.93   2022.3.62t4            VFX / Maything
20002269   翅膀特效（Wings VFX）——共 23 种翅   ¥140.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002344   自然与德鲁伊 风格化 VFX 入门套件        ¥224.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20003545   舞动的照片粒子效果                  ¥34.30   2022.3.62t4            VFX/粒子 / Maything
20003700   菌丝照片效果                     ¥27.93   2022.3.62t4            VFX / Maything
20003728   菌丝生长效果                     ¥4.89    2022.3.62t4            VFX / Maything
20002134   虚拟仿真通用特效1                  免费       2022.3.2t3             VFX / luffy_1_2_3
20004631   虚拟仿真通用特效2                  免费       2022.3.2t3             VFX/粒子 / luffy_1_2_3
20002347   虚空魔法 · 风格化 VFX 入门套件        ¥224.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002351   蜂蜜蜜蜂 风格化 VFX 入门套件          ¥224.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002240   血液特效基础包                    ¥315.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002341   血液风格化 VFX 入门套件             ¥224.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002356   街机像素复古风格化 VFX 入门套件         ¥168.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20003575   角色效果 - 力量光环                ¥49.00   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003868   贝塞尔渐变曲线效果                  ¥20.93   2022.3.62t4            VFX / Maything
20002889   超写实 ARPG 特效合集包（Super Rea   ¥1750.00 2022.3.62t5            VFX/粒子/符文 / Piloto Studio
20002252   超级魔法特效 FX —— 超过 1400 种独特   ¥1750.00 2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20004823   路径特效—基于LineRender          ¥209.30  2022.3.61t8            VFX / 海灵工坊
20002284   这个包为你的游戏带来了逼真的 ARPG 拾取效果   ¥140.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20003857   透视系统 — 阻挡物半透明效果            ¥23.10   2022.3.61t9            VFX/着色器 / GraphicsCat
20003524   通用拖尾特效1(URP)               免费       2022.3.2t3             VFX/着色器 / luffy_1_2_3
20000662   逼真 6D 光照爆炸特效包              ¥80.50   2022.3.61t7            VFX/粒子/火焰与爆炸 / DavideMezzaqui
20002877   逼真 ARPG 地面猛击特效             ¥182.00  2022.3.62t4            VFX/粒子/符文 / Piloto Studio
20002878   逼真 ARPG 沙尘特效               ¥182.00  2022.3.62t4            VFX/粒子/符文 / Piloto Studio
20002887   逼真 ARPG 蜘蛛首领特效             ¥182.00  2022.3.62t5            VFX/粒子/符文 / Piloto Studio
20002277   逼真堕落魔法 ARPG                ¥196.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002884   逼真月光法术特效                   ¥182.00  2022.3.62t4            VFX/粒子/符文 / Piloto Studio
20002885   逼真枪手战斗特效                   ¥182.00  2022.3.62t11           VFX/粒子/符文 / Piloto Studio
20002886   逼真漫画法术特效                   ¥182.00  2022.3.62t3            VFX/粒子/符文 / Piloto Studio
20005554   逼真的烟花视觉特效 VFX              ¥174.30  2022.3.62t8            VFX/粒子/符文 / Piloto Studio
20004709   逼真的风暴激涌                    ¥196.00  2022.3.62t7            VFX/粒子/符文 / Piloto Studio
20005556   逼真网格特效（Realistic Mesh VF   ¥182.00  2022.3.62t8            VFX/粒子/符文 / Piloto Studio
20001992   遮挡效果 — URP 透视 & X-Ray 效果   ¥23.10   2022.3.61t9            VFX/着色器 / GraphicsCat
20004404   醉酒效果 VFX 特效包               ¥154.00  2022.3.62t7            VFX/粒子/符文 / Piloto Studio
20004401   锁链特效                       ¥154.00  2022.3.62t7            VFX/粒子/符文 / Piloto Studio
20001989   锐化效果 — URP 屏幕锐化效果          ¥23.10   2022.3.61t9            VFX/着色器 / GraphicsCat
20002662   镜面可交互水面                    ¥3.50    2022.3.62t1b6          VFX/着色器 / Unity24Jun
20004821   镭射光柱特效                     ¥209.30  2022.3.61t8            VFX / 海灵工坊
20003883   闪电特效 Vol.1                 ¥81.20   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20004868   雨粒子 | Rain Particles       免费       2022.3.62t2            VFX/粒子 / Game Seed Assets
20004869   雾颗粒 | Fog Particles        免费       2022.3.62t2            VFX/粒子/环境 / Game Seed Assets
20000889   震撼VR的3D爆炸特效！               ¥74.20   2022.3.61t8            VFX/粒子/火焰与爆炸 / Hovl Studio
20000387   风格化传送门：第一卷                 ¥174.99  2022.3.61t6            VFX / vvVisualXxx
20002272   风格化元素光环 / 状态特效             ¥105.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20005340   风格化弹丸 Vol2                 ¥49.00   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20005339   风格化弹丸 Vol3                 ¥98.00   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20000746   风格化打击效果 第1卷                ¥69.99   2022.3.61t6            VFX / vvVisualXxx
20002283   风格化水晶与宝石超大包                ¥119.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002267   风格化波浪特效                    ¥140.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002279   风格化激光攻击 - 22 个 VFX！        ¥140.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20003720   风格化爆炸效果 Vol.2              ¥49.00   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003721   风格化爆炸效果 Vol.2 - URP        ¥49.00   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003792   风格化的光束效果                   ¥91.00   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003819   风格化的光束效果 -Vol.2            ¥77.00   2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003874   风车旋转效果                     ¥20.93   2022.3.62t4            VFX / Maything
20002652   魔法墙特效                      ¥196.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20003879   魔法的效果 -Magic Spell - Vol   ¥224.00  2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20003880   魔法的效果 -Magic Spell - Vol   ¥224.00  2022.3.2t3             VFX/粒子/火焰与爆炸 / CartoonVFX9X
20002354   魔法音乐风格化 VFX 入门套件           ¥224.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio
20002343   黑暗魔法 风格化 VFX 入门套件          ¥224.00  2022.3.62t2            VFX/粒子/符文 / Piloto Studio

  20003693  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20003693
      此软件包可帮助您轻松快速地制作游戏。
  20003822  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20003822
      15 种光束特效 URP，让你的游戏更适合移动设备。
  20003079  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20003079
      共 100 个像素风格 2D 特效
  20004590  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20004590
      `2DShader` 是一个面向 Unity 2D 项目的 shader 效果资源包。它提供一组常用的 2D sprite 特效着色器，包括流光、外发光、高斯模糊、双重图像、溶解、马赛克、水波纹等。资源包适用于需要增强视觉表现力的 2D 游戏、UI 特效、动画演示和原型开发。
  20003910  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20003910
      2D烟花特效 - 用于制作手机游戏
  20003911  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20003911
      帮助您轻松制作游戏。
  20005209  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20005209
      为了帮助您快速轻松地制作游戏。
  20002492  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20002492
      轻松快捷地制作你的游戏。
  20002493  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20002493
      轻松帮助您轻松快捷地制作游戏。
  20003546  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20003546
      这个效果模拟了电弧效果，当中心点移动并靠近小点时，就会产生多条电弧效果！
  20003781  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20003781
      这个效果把图片和视频转化为网格线来显示！
  20003786  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20003786
      这个效果模拟蛇的爬行在屏幕上绘制照片，照片绘制时，生成的照片也会产生模糊的效果。
  20000892  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20000892
      顶级科幻特效，完美适用于真实感游戏！
  20000891  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20000891
      该资源包包含25个特效预制件：15个爆炸，5个火焰特效，5个烟雾特效！
  20003800  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20003800
      帮助你快速制作动作游戏
  20002222  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20002222
      改变您的项目！用游戏开发者期待已久的资产，在几分钟内创建引人注目的 3D material。来自 All In 1 Sprite Shader 的创作者，现在为 3D 世界而生！
  20002221  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20002221
      All In 1 Sprite Shader 旨在为游戏开发者赋能。忘掉 shader 的复杂性，加速您的图形工作流程，实现您的梦想游戏！
  20002223  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20002223
      All In 1 Vfx Toolkit 让您以最简单、最快速的方式创建令人惊叹的效果。忘掉 shader 和技术限制，是时候创建令人难以置信的 VFX 了！
  20006552  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20006552
      10个范围效果，拖入场景中就可使用。
  20006596  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20006596
      共有15种效果，支持Unity 2021.3.0及以上版本，默认效果为URP管线。
  20006591  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20006591
      共有10种效果，支持Unity 2021.3.0及以上版本，默认效果为URP管线。
  20000557  https://assetstore.u3d.cn/packages/vfx/shaders/fullscreen-camera-effects/assetstore-package-20000557
      Beautify 是一种全屏图像后期处理效果，实时提升画质，生成清晰生动的场景，含20种高级效果，支持内置管线和URP，优化性能，增强视觉细节，兼容多平台和VR。
  20001537  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20001537
      Blur Toolkit 是目前最完整的模糊处理包。 它使用多种技术，可在纹理、3D 对象、全屏效果和用户界面 (UI) 上实现高性能且美观的模糊效果!
  20004667  https://assetstore.u3d.cn/packages/vfx/shaders/fullscreen-camera-effects/assetstore-package-20004667
      Brightness Effect：URP后效插件，调节亮度/对比度/饱和度，支持半径功能。全平台支持。 Brightness Effect: URP plugin for brightness/contrast/saturation adjustment with radius feature. 
  20005366  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20005366
      231 个移动端优化粒子特效，涵盖魔法阵、受击、传送门、爆炸等，6 色变体，开箱即用，无外部依赖。
  20004669  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20004669
      ·ChameleonX 是一套面向 Unity GUI 特效的 Shader 包集合，专注于为 UI 元素提供溶解、扭曲、流光、菲涅尔、极坐标、旋涡、UV 动画与顶点动画等视觉效果。适合需要快速制作高表现力界面特效、提升 UI 质感与动效表现的项目使用。 ·仅支持Unity URP管线，包括团结引擎
  20006592  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20006592
      共有10种效果，角色能量护盾效果，支持Unity 2021.3.0及以上版本，默认效果为URP管线。
  20006595  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20006595
      12个角色轨迹特效，适用于RPG项目，支持Unity 2021.3.0及以上版本。
  20003548  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20003548
      这个效果使用粒子系统，来模拟出细胞内部的虚幻效果！
  20006345  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20006345
      支持双面渲染并保持精准光照效果的 Shader，适用于树叶、布料、纸张等需要显示正反两面的薄片材质，同时保留 Unity Standard Shader 的灵活性。
  20000768  https://assetstore.u3d.cn/packages/vfx/shaders/fullscreen-camera-effects/assetstore-package-20000768
      轻松为您的游戏添加 2D / 3D 描边效果。 完全兼容 URP、HDRP。 提供无缝集成、高性能表现与灵活自定义选项。
  20006593  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20006593
      5种元素的爆炸效果，支持 Unity 2021.3.0 及以上版本，默认使用 URP 管道。
  20006586  https://assetstore.u3d.cn/packages/vfx/shaders/fullscreen-camera-effects/assetstore-package-20006586
      一键式全局积雪效果：无需修改材质即可把场景变成冬季雪景，支持地形、植被与建筑，并提供脚印、降雪与镜头结霜。
  20000435  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20000435
      GrassFlow是一个完整的植被系统，其核心是一个高度互动/可定制/优化的着色器。 自动处理放置/渲染，由熟悉的绘画工具控制。
  20001730  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20001730
      Highlight Plus 2 是 Unity 的终极高亮解决方案。轻松且灵活地为场景中的对象和角色添加轮廓、外发光、叠加、透视以及其他效果。
  20002603  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20002603
      本Demo工程展示团结引擎 Infinity 粒子系统的性能优势。
  20002197  https://assetstore.u3d.cn/packages/tools/particles-effects/assetstore-package-20002197
      实时体素全局光照 是一款可轻松设置的资源，可为场景提供真实的间接光照效果。该系统完全实时运行，并使用太阳光与场景中的网格物体作为光源。
  20005944  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20005944
      这些示例粒子资源可用于您的游戏中，也可帮助您了解如何使用 Unity Particle System 组件和模块来实现特定效果。
  20006385  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20006385
      用于创建真实光束、光线体积效果和尘埃模拟效果的 Shader。支持强度、淡出距离、柔和度、纹理移动等参数调节，并提供墙体碰撞控制。
  20001817  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20001817
      Light Receiver URP 让您能够在透明表面上呈现实时点光源与聚光灯效果！
  20006589  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20006589
      容器液体实时渲染：多层液体、可混合液体、气泡与浮力效果，附带 40 余种实验器皿与药水瓶预制体。
  20002009  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20002009
      增强版 URP 光照 Shader（材质），效果更多，效率更高。
  20006590  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20006590
      该资源包包含10种循环效果，支持Unity 2021.3.0及以上版本
  20001022  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20001022
      Synty Studios™ 荣誉出品 - 一款包含火、水、烟雾、尘埃、污垢、血液、自然、武器、魔法等粒子特效的资产包，为您的 Polygon 风格游戏增色添彩。
  20001100  https://assetstore.u3d.cn/packages/vfx/particles/environment/assetstore-package-20001100
      适用于菜单和环境的 **2D 粒子特效包** —— 非常适合奇幻、休闲或可爱风格的游戏。
  20005957  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20005957
      一套供您在项目中使用的示例粒子资源集合。可导入到空项目中，或阅读
  20001263  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20001263
      PotaToon 是一款为 URP Forward(+) 环境与 PC/Console 平台设计的动画风格 Toon 渲染资产。
  20000893  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20000893
      海量高品质特效，专为RPG和俯视角游戏打造！
  20004485  https://assetstore.u3d.cn/packages/vfx/shaders/fullscreen-camera-effects/assetstore-package-20004485
      Radiant GI 为 URP 和内置渲染管线都带来了实时的屏幕空间全局光照，使场景呈现出更加自然的视觉效果。
  20006001  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006001
      告别空洞单调的方形假房间！Real Fake Interiors 是一款集烘焙工具与着色器于一体的解决方案，可让假室内效果从任何角度看起来都具有真实的 3D 深度，并支持方形、长方形和高挑房间。兼容 HDRP、URP 和 BIRP。
  20000949  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20000949
      (一款专业/高级的动漫/卡通着色器，能让您的角色和物体看起来尽可能地接近真实的动漫/卡通效果。) 其他风格化的外观效果也同样可以实现。
  20001238  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20001238
      一套逼真的爆炸特效，并附带自定义爆炸生成器。所有内容开箱即用。It's all
  20005930  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20005930
      让您的 3D 复古世界呈现出手工像素绘制般的效果，采用锚定于世界空间的像素，即使镜头移动，画面依然更加稳定。这不是后期像素化，而是真正的 Texel Splatting！
  20006146  https://assetstore.u3d.cn/packages/vfx/particles/spells/assetstore-package-20006146
      一款动态的 Roguelike 视觉特效包，包含灵魂召唤、幽灵生物、灵体幻影、神秘显现以及空灵魔法特效，专为快节奏奇幻战斗打造。
  20003499  https://assetstore.u3d.cn/packages/vfx/particles/spells/assetstore-package-20003499
      一套精心制作的风格化战斗与魔法特效合集，具有大胆的造型、发光光环和绘画感能量效果。非常适合俯视角动作游戏、Roguelike 以及施法类冒险游戏。
  20002280  https://assetstore.u3d.cn/packages/vfx/particles/spells/assetstore-package-20002280
      本套件包含大量即用型游戏特效（VFX），提供多种风格，助力丰富你的游戏体验！此套件会定期更新新内容，价格也会随内容更新进行调整。 所有特效均经过优化，适用于移动端和主机平台。 兼容以下渲染管线：标准渲染管线（Standard）、通用渲染管线（URP）以及高清渲染管线（HDRP）。
  20002259  https://assetstore.u3d.cn/packages/vfx/particles/spells/assetstore-package-20002259
      该资源包包含大量即用型游戏特效（VFX），提供多种风格，为你的游戏增添更多变化与表现力！本特效包会非常频繁地更新新内容，价格也会根据新增内容定期进行调整。 所有 VFX 均经过良好优化，适用于移动端与主机平台。 支持 Standard 渲染管线、Universal Render Pipeline（U
  20000313  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20000313
      Seamless Converter Shader – 一个基于 hex 的 shader，可在所有 Unity pipelines 中移除任何 texture 的 tiling 伪影。
  20000285  https://assetstore.u3d.cn/packages/tools/particles-effects/assetstore-package-20000285
      轻松上手的资源包，让你轻松制作刮刮卡！ 只需拖放预制体并设置刮刮卡图片，你的刮刮卡就准备好了！😊
  20004484  https://assetstore.u3d.cn/packages/vfx/shaders/fullscreen-camera-effects/assetstore-package-20004484
      Shiny SSR 可为您的场景实时添加精美的屏幕空间反射效果，使画面更加真实。 此套装包含 2 个分别针对不同渲染管线优化的包
  20001064  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20001064
      Simple FX - 卡通粒子特效 一套 Simple FX 粒子特效资源包，包含多种粒子效果，可与我们的其他 Simple 系列资源搭配使用，轻松为你的项目增添生动有趣的特效表现。 FX 特效系统 血液飞溅、泥土飞溅、灰尘、带碎石的爆炸效果、火焰、蓝色烟花、烟花、火焰喷射器、烟雾、蒸汽、轮胎烟雾
  20004848  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20004848
      Spline Path FX 借助 Unity 官方的 Spline 系统 与高性能 Shader，为 3D 空间带来震撼的动画路径特效。无论您在制作科幻轨迹、能量流、魔法光束，还是 3D 风格化 UI 过渡 —— 本插件都能让您 无需编写任何代码 即可全部搞定。
  20004128  https://assetstore.u3d.cn/packages/vfx/shaders/assetstore-package-20004128
      基于着色器、精灵和文字的UI与世界特效。只需将特效预制体添加到场景中即可查看效果。
  20003695  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20003695
      这个超级软件包可以帮助您轻松快速地创建游戏。
  20003698  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20003698
      助您轻松快捷地创建游戏。
  20003719  https://assetstore.u3d.cn/packages/vfx/particles/fire-explosions/assetstore-package-20003719
      一系列 UI 特效，助您轻松创建手机游戏。
  20004850  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20004850
      这是一款多特效插件合集包含：UI Shader FX Pack、UI Path FX、UI & Sprite Shaders、UI Frame FX Pro、UI FX - Particle System
  20004849  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20004849
      UI FX – Particle System 专注于以最少的依赖呈现震撼视觉，提供经过优化、即插即用的动态 UI 增强方案。
  20001813  https://assetstore.u3d.cn/packages/vfx/shaders/fullscreen-camera-effects/assetstore-package-20001813
      高性能 URP 屏幕空间雾效。 拥有独特的双色深度雾与天空盒控制功能，能够精准满足您的创作需求——无论是打造风格化世界还是写实渲染环境，均能完美适配。
  20006584  https://assetstore.u3d.cn/packages/vfx/shaders/fullscreen-camera-effects/assetstore-package-20006584
      为 URP 提供更真实的平行光柔和阴影与接触阴影：靠近遮挡物时锐利，远处自然柔和，并补足小物体与细节的暗部表现。
  20001456  https://assetstore.u3d.cn/packages/tools/particles-effects/assetstore-package-20001456
      UniStorm HDRP 是一款全新的资产包，利用 Unity HDRP 的特性，为您提供 AAA 级体积云、体积雾、云阴影、昼夜系统等功能，并与 UniStorm 广受好评的框架深度集成。
  20001218  https://assetstore.u3d.cn/packages/tools/particles-effects/assetstore-package-20001218
      UniStorm 是打造 AAA 级动态天空、天气、云影、大气雾和程序化体积云的终极解决方案。UniStorm 提供调整天空中每个组成部分的选项。
  20003339  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20003339
      32 种范围魔法技能，包括地面攻击、电击攻击、火焰效果、黑暗魔法等等。
  20006871  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006871
      58種範圍魔法技能，包括彗星、流星雨、箭雨、範圍衝擊、增益、減益、垂直攻擊、眩暈等等，涵蓋火焰、冰霜、水、毒素、閃電、虛空、奧術、速度和治療等主題。非常適合角色扮演遊戲或擁有大量技能的遊戲。
  20006872  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006872
      29種範圍魔法技能，包括彗星、範圍攻擊、增益效果、垂直攻擊、龍捲風、龜派氣功等。非常適合角色扮演遊戲或擁有大量技能的遊戲。
  20006869  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006869
      17 束激光，可自訂，並適用於第一人稱、第三人稱和其他視角。
  20006875  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006875
      10 種獨特的掉落物品，每種物品有 6 個稀有度等級。
  20006876  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006876
      21 個獨特的區域標記 + 11 個獨特的 Ping 標記 + 10 個獨特的 HUD 標記
  20006877  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006877
      18 個採用粒子系統製作的獨特風格化球體。
  20006689  https://assetstore.u3d.cn/packages/vfx/particles/assetstore-package-20006689
      30 種風格化的投射物，包括咒語、子彈、火球、黑暗魔法、箭矢等等。
  20006695  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006695
      60 種投射物，包括能量球、法術、火球、水球、電球等等。
  20006697  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006697
      60 種投射物，包括能量球、法術、火球、箭矢、子彈等等。
  20006700  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006700
      60 種投射物，包括火球、光球、火箭、閃電、子彈、煙火、飛鏢等等。
  20006873  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006873
      40 種科幻特效 - 7 種範圍攻擊、6 種衝擊、5 種戰利品掉落/獎勵、8 種護盾/屏障、3 種門/力場和 11 種推進器。
  20006880  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006880
      11 種利用粒子系統製作的獨特護盾和屏障。
  20006881  https://assetstore.u3d.cn/packages/vfx/assetstore-package-20006881
